Team,Team ID
Atlanta Hawks,1610612737
Brooklyn Nets,1610612751
New Jersey Nets,1610612751
Boston Celtics,1610612738	
Charlotte Hornets,1610612766
Charlotte Bobcats,1610612766
Cleveland Cavaliers,1610612739	
Chicago Bulls,1610612741	
Dallas Mavericks,1610612742
Denver Nuggets,1610612743
Detroit Pistons,1610612765
Golden State Warriors,1610612744
Houston Rockets,1610612745
Indiana Pacers,1610612754	
Los Angeles Clippers,1610612746
Los Angeles Lakers,1610612747	
Memphis Grizzlies,1610612763
Vancouver Grizzlies,1610612763
Miami Heat,1610612748
Milwaukee Bucks,1610612749
Minnesota Timberwolves,1610612750	
New York Knicks,1610612752
New Orleans Pelicans,1610612740
Oklahoma City Hornets,1610612740
New Orleans Hornets,1610612740
Oklahoma City Thunder,1610612760
Seattle SuperSonics,1610612760
Orlando Magic,1610612753	
Philadelphia 76ers,1610612755	
Phoenix Suns,1610612756
Portland Trail Blazers,1610612757	
San Antonio Spurs,1610612759	
Sacramento Kings,1610612758	
Toronto Raptors,1610612761
Utah Jazz,1610612762
Washington Wizards,1610612764
